category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type,base_word
noun,drinks,beer,fermented barley drink,birra,BEER-rah,singular,,feminine,1,noun,,Beer is popular in summer.,Birra è popolare in estate.,bionda,,birra
noun,drinks,a beer,bottle or glass of beer,una birra,OO-nah BEER-rah,singular,,feminine,1,noun,,I’d like a beer please.,Vorrei una birra per favore.,bionda,indefinite,birra
noun,drinks,the draft beer,beer on tap,la birra alla spina,LA BEER-rah AHL-lah SPEE-nah,singular,,feminine,1,noun,,The draft beer tastes fresh.,La birra alla spina ha un gusto fresco.,spina,definite,birra alla spina
noun,drinks,a draft beer,beer on tap,una birra alla spina,OO-nah BEER-rah AHL-lah SPEE-nah,singular,,feminine,1,noun,,I ordered a draft beer.,Ho ordinato una birra alla spina.,spina,indefinite,birra alla spina
noun,drinks,the cocktail,mixed alcoholic drink,il cocktail,EEL KOHK-teyl,singular,,masculine,2,noun,,The cocktail is strong.,Il cocktail è forte.,"bevanda,mista",definite,cocktail
noun,drinks,a cocktail,mixed alcoholic drink,un cocktail,OON KOHK-teyl,singular,,masculine,2,noun,,He prepared a cocktail.,Ha preparato un cocktail.,"bevanda,mista",indefinite,cocktail
noun,drinks,the soda,carbonated soft drink,la bibita gassata,LA BEE-bee-tah gah-SAHT-tah,singular,,feminine,2,noun,,The soda is very sweet.,La bibita gassata è molto dolce.,soda,definite,bibita
noun,drinks,soda,carbonated soft drink,bibita gassata,BEE-bee-tah gah-SAHT-tah,singular,,feminine,2,noun,,Soda isn’t healthy.,Bibita gassata non è salutare.,soda,,bibita
noun,drinks,the cola,cola flavoured soda,la cola,LA KOH-lah,singular,,feminine,2,noun,,The cola has no ice.,La cola è senza ghiaccio.,bibita,definite,cola
noun,drinks,a cola,cola flavoured soda,una cola,OO-nah KOH-lah,singular,,feminine,2,noun,,He drank a cola.,Ha bevuto una cola.,bibita,indefinite,cola
noun,drinks,the milk,dairy drink,il latte,EEL LAHT-teh,singular,,masculine,1,noun,,The milk is warm.,Il latte è tiepido.,latte vaccino,definite,latte
noun,drinks,milk,dairy drink,latte,LAHT-teh,singular,,masculine,1,noun,,Milk foams for cappuccino.,Latte monta per il cappuccino.,latte vaccino,,latte
noun,drinks,a glass of milk,dairy serving,un bicchiere di latte,OON bee-KYEH-reh dee LAHT-teh,singular,,masculine,1,noun,,The child drinks a glass of milk.,Il bambino beve un bicchiere di latte.,latte,indefinite,bicchiere di latte
noun,drinks,the hot chocolate,cocoa drink,la cioccolata calda,LA choh-koh-LAH-tah KAHL-dah,singular,,feminine,2,noun,,The hot chocolate is thick.,La cioccolata calda è densa.,cioccolata,definite,cioccolata calda
noun,drinks,a hot chocolate,cocoa drink,una cioccolata calda,OO-nah choh-koh-LAH-tah KAHL-dah,singular,,feminine,2,noun,,I’d love a hot chocolate.,Vorrei una cioccolata calda.,cioccolata,indefinite,cioccolata calda
noun,drinks,the lemonade,lemon soft drink,la limonata,LA lee-moh-NAH-tah,singular,,feminine,2,noun,,The lemonade is refreshing.,La limonata è rinfrescante.,bevanda,definite,limonata
noun,drinks,a lemonade,lemon soft drink,una limonata,OO-nah lee-moh-NAH-tah,singular,,feminine,2,noun,,She made a lemonade.,Ha preparato una limonata.,bevanda,indefinite,limonata
noun,drinks,the iced tea,cold tea drink,il tè freddo,EEL TEH FRED-doh,singular,,masculine,2,noun,,The iced tea has mint.,Il tè freddo ha la menta.,bevanda,definite,tè freddo
noun,drinks,an iced tea,cold tea drink,un tè freddo,OON TEH FRED-doh,singular,,masculine,2,noun,,I bought an iced tea.,Ho comprato un tè freddo.,bevanda,indefinite,tè freddo
noun,drinks,the sparkling mineral water,carbonated mineral water,l'acqua minerale frizzante,LAHK-kwah mee-neh-RAH-leh freet-ZAN-teh,singular,,feminine,2,noun,,Sparkling mineral water costs more.,L'acqua minerale frizzante costa di più.,acqua gasata,definite,acqua minerale frizzante
noun,drinks,the still mineral water,non-carbonated mineral water,l'acqua minerale naturale,LAHK-kwah mee-neh-RAH-leh nah-too-RAH-leh,singular,,feminine,2,noun,,The still mineral water is bottled locally.,L'acqua minerale naturale è imbottigliata qui.,acqua naturale,definite,acqua minerale naturale
