category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type
noun,people,the boy,A male child.,il bambino,eel bahm-BEE-no,singular,n/a,masculine,1,noun,n/a,The boy is running.,Il bambino sta correndo.,"giovane, figlio, studente",definite
noun,people,the boys,A male child.,i bambini,ee bahm-BEE-nee,plural,n/a,masculine,1,noun,n/a,The boy is running.,Il bambino sta correndo.,"giovane, figlio, studente",definite
noun,people,a friend,A person whom one knows and trusts.,un amico / un’amica,oon ah-MEE-koh / oo-nah MEE-kah,singular,n/a,masculine/feminine,1,noun,n/a,She is my best friend.,È la mia migliore amica.,"compagno, relazione, fiducia",indefinite
noun,people,the friend,A person whom one knows and trusts.,l’amico / l’amica,lah-MEE-koh / lah-MEE-kah,singular,n/a,masculine/feminine,1,noun,n/a,She is my best friend.,È la mia migliore amica.,"compagno, relazione, fiducia",definite
noun,people,the friends,A person whom one knows and trusts.,gli amici / le amiche,lyee ah-MEE-chee / lay ah-MEE-keh,plural,n/a,masculine/feminine,1,noun,n/a,She is my best friend.,È la mia migliore amica.,"compagno, relazione, fiducia",definite
noun,people,a teacher,"A person who teaches, especially in school.",un insegnante,oon een-seh-NYAN-teh,singular,n/a,masculine/feminine,1,noun,n/a,The teacher is explaining the lesson.,L’insegnante spiega la lezione.,"scuola, studente, lezione",indefinite
noun,people,the teacher,"A person who teaches, especially in school.",l’insegnante,leen-seh-NYAN-teh,singular,n/a,masculine/feminine,1,noun,n/a,The teacher is explaining the lesson.,L’insegnante spiega la lezione.,"scuola, studente, lezione",definite
noun,people,the teachers,"A person who teaches, especially in school.",gli insegnanti,lyee een-seh-NYAN-tee,plural,n/a,masculine/feminine,1,noun,n/a,The teacher is explaining the lesson.,L’insegnante spiega la lezione.,"scuola, studente, lezione",definite
noun,people,a student,A person who is studying.,uno studente / una studentessa,OO-noh stoo-DEN-teh / OO-nah stoo-den-TESS-sah,singular,n/a,masculine/feminine,1,noun,n/a,She is a university student.,È una studentessa universitaria.,"università, scuola, lezione",indefinite
noun,people,the student,A person who is studying.,lo studente / la studentessa,loh stoo-DEN-teh / lah stoo-den-TESS-sah,singular,n/a,masculine/feminine,1,noun,n/a,She is a university student.,È una studentessa universitaria.,"università, scuola, lezione",definite
noun,people,the students,A person who is studying.,gli studenti / le studentesse,lyee stoo-DEN-tee / lay stoo-den-TESS-seh,plural,n/a,masculine/feminine,1,noun,n/a,She is a university student.,È una studentessa universitaria.,"università, scuola, lezione",definite
noun,people,a parent,A mother or father.,un genitore,oon jeh-nee-TOH-reh,singular,n/a,masculine,1,noun,n/a,My parents are kind.,I miei genitori sono gentili.,"padre, madre, famiglia",indefinite
noun,people,the parent,A mother or father.,il genitore,eel jeh-nee-TOH-reh,singular,n/a,masculine,1,noun,n/a,My parents are kind.,I miei genitori sono gentili.,"padre, madre, famiglia",definite
noun,people,the parents,A mother or father.,i genitori,ee jeh-nee-TOH-ree,plural,n/a,masculine,1,noun,n/a,My parents are kind.,I miei genitori sono gentili.,"padre, madre, famiglia",definite
noun,people,a baby,A very young child.,un neonato / una neonata,oon neh-oh-NAH-toh / OO-nah neh-oh-NAH-tah,singular,n/a,masculine/feminine,2,noun,n/a,The baby is sleeping.,Il neonato dorme.,"infante, piccolo, culla",indefinite
noun,people,the baby,A very young child.,il neonato / la neonata,eel neh-oh-NAH-toh / lah neh-oh-NAH-tah,singular,n/a,masculine/feminine,2,noun,n/a,The baby is sleeping.,Il neonato dorme.,"infante, piccolo, culla",definite
noun,people,the babys,A very young child.,i neonati / le neonate,ee neh-oh-NAH-tee / lay neh-oh-NAH-teh,plural,n/a,masculine/feminine,2,noun,n/a,The baby is sleeping.,Il neonato dorme.,"infante, piccolo, culla",definite
