english,italian
how are you (familiar),come stai
how much,quanto
how many,quanti
how many kilometers,quanti chilometri
how far is it,quanto lontano / quanto dista
do you want (polite),vuole
do you want (familiar),vuoi
do you want (plural),volete
the store / the shop,il negozio
a bakery,un panificio / una panetteria
the butcher,il macellaio
a pharmacy,una farmacia
the supermarket,il supermercato
the pastry shop,la pasticceria
the office,l'ufficio
the post office,l'ufficio postale / la posta
a laundry,una lavanderia
the barber,il barbiere
the hair dresser,il parrucchiere
a beauty salon,un salone di bellezza
a book shop,una libreria
the department store,il grande magazzino
a market,un mercato
the police station,la stazione di polizia
a restaurant,un ristorante
the cafe / the coffee house,il caffè / il bar
an agency,un'agenzia
a travel agency,un'agenzia viaggi
the deli,la salumeria
an ice cream parlor,una gelateria
the town / the city,la città
a country,un paese
the name,il nome
the food,il cibo
a state,uno stato
the united states,gli stati uniti
a gift,un regalo
a male friend,un amico
a female friend,una amica
the postage stamp,il francobollo
an entrance,un'entrata
the exit,l'uscita
the clothes,i vestiti
my things / my stuff,la mia roba
the dirty laundry,la roba sporca
a thing,una cosa
some,qualche
sometimes,talora / qualche volta
the other / the other one,l'altro / l'altra
nothing,niente / nulla
a man,un uomo
a woman,una donna
a wife,una moglie
the husband,il marito
a child,un bambino / una bambina
the weather,il tempo
a word,una parola
the consulate,il consolato
the beach,la spiaggia
the problem,il problema
a piece,un pezzo
the cashier's desk,la cassa
a delay,un ritardo
the opposite,il contrario
a house,una casa
a little boat,una barca
big / tall / great,grande
big / thick / heavy,grosso / grossa
small,piccolo / piccola
good / good-hearted,buono / buona
good / talented,bravo / brava
well,bene
not good,non buono
bad,cattivo / cattiva
badly,male
much / a lot of,molto / molta
very,molto
enough,abbastanza
hot / warm,caldo / calda
cold,freddo / fredda
ahead of schedule,in anticipo
behind schedule / delayed,il ritardo
early,presto
late,tardi
easy,facile
difficult,difficile
beautiful,bello / bella
few,pochi
a few,alcuni
many,molti
more,più / di più
less,meno
almost / nearly,quasi
about / approximately,circa
important,importante
same,medesimo / stesso
similar,simile
opposite,opposto / opposta
different,diverso / diversa
up / upstairs,su
down / downstairs,giù
fast,rapido / veloce
slow,lento / lenta
slower,più lento
slowest,il più lento / la più lenta
slowly,lentamente
quickly,rapidamente
nearer,più vicino
nearest,il più vicino / la più vicina
only,soltanto / solo
alone,solo / sola
already,già
now,adesso
right away,subito
soon,presto
ready,pronto / pronta
spanish,spagnolo
english,inglese
American,americano / americana
British,britannico / britannica
Italian,italiano / italiana
tall / high,alto / alta
short / low,basso / bassa
to / at,a
from,da
of,di
with,con
without,senza
for / intended for,per
by,da / presso 
per,per
on / over,su / sopra
on top of,in cima a
under / below,sotto
in / into,in
inside,dentro
within,entro
outside,fuori
in front of / ahead of,davanti a
in back of / behind,dietro a
before,prima di
after,dopo di
near to / next to,vicino a
far from,lontano da
beside,accanto a
around,intorno a
against,contro
between,tra / fra
during,durante
since / ever since,da / fin da
in the middle of,nel mezzo di / in mezzo a
through / across,attraverso
across from / on the other side of,del l'altro lato di
at the house of,alla casa di
