category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type
noun,places,a church,religious building,una chiesa,OO-nah KYEH-zah,singular,n/a,feminine,1,noun,n/a,We entered a church to admire the frescoes.,Siamo entrati in una chiesa per ammirare gli affreschi.,basilica,indefinite
noun,places,the churches,religious buildings,le chiese,leh KYEH-zeh,plural,n/a,feminine,1,noun,n/a,The churches ring bells at noon.,Le chiese suonano le campane a mezzogiorno.,basiliche,definite
noun,places,the station,train or bus station,la stazione,lah stah-TSYOH-neh,singular,n/a,feminine,1,noun,n/a,The station is very busy.,La stazione è molto affollata.,fermata,definite
noun,places,a station,train or bus station,una stazione,OO-nah stah-TSYOH-neh,singular,n/a,feminine,1,noun,n/a,We waited in a station for the train.,Abbiamo aspettato in una stazione il treno.,fermata,indefinite
noun,places,the stations,train or bus stations,le stazioni,leh stah-TSYOH-nee,plural,n/a,feminine,1,noun,n/a,The stations have clear signs.,Le stazioni hanno segnaletica chiara.,fermate,definite
noun,places,the airport,place for planes,l'aeroporto,lah eh-roh-POR-toh,singular,n/a,masculine,1,noun,n/a,The airport is twenty minutes away.,L'aeroporto è a venti minuti.,scalo,definite
noun,places,an airport,place for planes,un aeroporto,oon ah eh-roh-POR-toh,singular,n/a,masculine,1,noun,n/a,We landed at an airport near Rome.,Siamo atterrati in un aeroporto vicino a Roma.,scalo,indefinite
noun,places,the airports,places for planes,gli aeroporti,lyee ah eh-roh-POR-tee,plural,n/a,masculine,1,noun,n/a,The airports are modern.,Gli aeroporti sono moderni.,scali,definite
noun,places,the hotel,place to stay,l'hotel,loh-TEL,singular,n/a,masculine,1,noun,n/a,The hotel overlooks the sea.,L'hotel affaccia sul mare.,albergo,definite
noun,places,a hotel,place to stay,un hotel,oon oh-TEL,singular,n/a,masculine,1,noun,n/a,They booked a hotel in Florence.,Hanno prenotato un hotel a Firenze.,albergo,indefinite
noun,places,the hotels,places to stay,gli hotel,lyee oh-TEL,plural,n/a,masculine,1,noun,n/a,The hotels are fully booked.,Gli hotel sono al completo.,alberghi,definite
noun,places,the restaurant,place to eat,il ristorante,eel ree-sto-RAHN-teh,singular,n/a,masculine,1,noun,n/a,The restaurant opens at seven.,Il ristorante apre alle sette.,trattoria,definite
noun,places,a restaurant,place to eat,un ristorante,oon ree-sto-RAHN-teh,singular,n/a,masculine,1,noun,n/a,We chose a restaurant near the river.,Abbiamo scelto un ristorante vicino al fiume.,trattoria,indefinite
noun,places,the restaurants,places to eat,i ristoranti,ee ree-sto-RAHN-tee,plural,n/a,masculine,1,noun,n/a,The restaurants offer local dishes.,I ristoranti offrono piatti locali.,trattorie,definite
noun,places,the supermarket,large grocery store,il supermercato,eel soo-per-mehr-KAH-toh,singular,n/a,masculine,1,noun,n/a,The supermarket is closed today.,Il supermercato è chiuso oggi.,market,definite
noun,places,a supermarket,large grocery store,un supermercato,oon soo-per-mehr-KAH-toh,singular,n/a,masculine,1,noun,n/a,I need to find a supermarket.,Devo trovare un supermercato.,market,indefinite
noun,places,the supermarkets,large grocery stores,i supermercati,ee soo-per-mehr-KAH-tee,plural,n/a,masculine,1,noun,n/a,The supermarkets are open late.,I supermercati sono aperti fino a tardi.,markets,definite
noun,places,the pharmacy,drugstore,la farmacia,lah far-mah-CHEE-ah,singular,n/a,feminine,1,noun,n/a,The pharmacy opens early.,La farmacia apre presto.,parafarmacia,definite
noun,places,a pharmacy,drugstore,una farmacia,OO-nah far-mah-CHEE-ah,singular,n/a,feminine,1,noun,n/a,She looked for a pharmacy.,Ha cercato una farmacia.,parafarmacia,indefinite
noun,places,the pharmacies,drugstores,le farmacie,leh far-mah-CHEE-eh,plural,n/a,feminine,1,noun,n/a,The pharmacies sell sunscreen.,Le farmacie vendono crema solare.,parafarmacie,definite
noun,places,the hospital,medical facility,l'ospedale,lohs-peh-DAH-leh,singular,n/a,masculine,1,noun,n/a,The hospital is near the center.,L'ospedale è vicino al centro.,clinica,definite
noun,places,a hospital,medical facility,un ospedale,oon ohs-peh-DAH-leh,singular,n/a,masculine,1,noun,n/a,They built a hospital last year.,Hanno costruito un ospedale l'anno scorso.,clinica,indefinite
noun,places,the hospitals,medical facilities,gli ospedali,lyee ohs-peh-DAH-lee,plural,n/a,masculine,1,noun,n/a,The hospitals are busy.,Gli ospedali sono affollati.,cliniche,definite
noun,places,the school,place to learn,la scuola,lah SKWOH-lah,singular,n/a,feminine,1,noun,n/a,The school starts at eight.,La scuola inizia alle otto.,istituto,definite
noun,places,a school,place to learn,una scuola,OO-nah SKWOH-lah,singular,n/a,feminine,1,noun,n/a,We visited a school during the tour.,Abbiamo visitato una scuola durante il tour.,istituto,indefinite
noun,places,the schools,places to learn,le scuole,leh SKWOH-leh,plural,n/a,feminine,1,noun,n/a,The schools are closed in August.,Le scuole sono chiuse ad agosto.,istituti,definite
noun,places,the university,higher education institution,l'università,loo-nee-vehr-see-TAH,singular,n/a,feminine,2,noun,n/a,The university has many students.,L'università ha molti studenti.,ateneo,definite
noun,places,a university,higher education institution,un'università,oon oo-nee-vehr-see-TAH,singular,n/a,feminine,2,noun,n/a,She studies at a university in Milan.,Studia in un'università a Milano.,ateneo,indefinite
noun,places,the universities,higher education institutions,le università,leh oo-nee-vehr-see-TAH,plural,n/a,feminine,2,noun,n/a,The universities collaborate.,Le università collaborano.,atenei,definite
noun,places,the beach,sandy shore,la spiaggia,lah spYAHJ-jah,singular,n/a,feminine,2,noun,n/a,The beach is crowded.,La spiaggia è affollata.,lido,definite
noun,places,a beach,sandy shore,una spiaggia,OO-nah spYAHJ-jah,singular,n/a,feminine,2,noun,n/a,We relaxed on a beach.,Ci siamo rilassati su una spiaggia.,lido,indefinite
noun,places,the beaches,sandy shores,le spiagge,leh spYAHJ-jeh,plural,n/a,feminine,2,noun,n/a,The beaches are clean.,Le spiagge sono pulite.,lidi,definite
